,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,DEP_TIME_BLK,CANCELLED,DIVERTED,DISTANCE,ORIGIN_CITY,ORIGIN_STATE_OR_REGION,ORIGIN_FULL_NAME,GMT_DEP,DEST_CITY,DEST_STATE_OR_REGION,DEST_FULL_NAME,GMT_ARR
448978,22,2,MQ,MQ,N616AE,3580,FWA,ORD,1500-1559,1.0,0.0,157.0,Fort Wayne,IN,Indiana,5,Chicago,IL,Illinois,6
448979,22,2,MQ,MQ,N616AE,3580,ORD,FWA,1200-1259,1.0,0.0,157.0,Chicago,IL,Illinois,6,Fort Wayne,IN,Indiana,5
448980,22,2,MQ,MQ,N616AE,3580,ORD,FWA,1200-1259,1.0,0.0,157.0,Chicago,IL,Illinois,6,Fort Wayne,IN,Indiana,5
448982,22,2,MQ,MQ,N681AE,3584,CID,ORD,1400-1459,1.0,0.0,196.0,Cedar Rapids,IA,Iowa,6,Chicago,IL,Illinois,6
448983,22,2,MQ,MQ,N681AE,3584,CID,ORD,1400-1459,1.0,0.0,196.0,Cedar Rapids,IA,Iowa,6,Chicago,IL,Illinois,6
448986,22,2,MQ,MQ,N658AE,3587,CVG,ORD,1900-1959,1.0,0.0,264.0,Cincinnati,OH,Ohio,5,Chicago,IL,Illinois,6
448987,22,2,MQ,MQ,N658AE,3587,CVG,ORD,1900-1959,1.0,0.0,264.0,Cincinnati,OH,Ohio,5,Chicago,IL,Illinois,6
448988,22,2,MQ,MQ,N658AE,3587,ORD,CVG,1700-1759,1.0,0.0,264.0,Chicago,IL,Illinois,6,Cincinnati,OH,Ohio,5
448989,22,2,MQ,MQ,N658AE,3587,ORD,CVG,1700-1759,1.0,0.0,264.0,Chicago,IL,Illinois,6,Cincinnati,OH,Ohio,5
448991,22,2,MQ,MQ,N923AE,3589,MHK,ORD,1500-1559,1.0,0.0,501.0,Manhattan,KS,Kansas,6,Chicago,IL,Illinois,6
448992,22,2,MQ,MQ,N923AE,3589,MHK,ORD,1500-1559,1.0,0.0,501.0,Manhattan,KS,Kansas,6,Chicago,IL,Illinois,6
448993,22,2,MQ,MQ,N923AE,3589,ORD,MHK,1300-1359,1.0,0.0,501.0,Chicago,IL,Illinois,6,Manhattan,KS,Kansas,6
448994,22,2,MQ,MQ,N923AE,3589,ORD,MHK,1300-1359,1.0,0.0,501.0,Chicago,IL,Illinois,6,Manhattan,KS,Kansas,6
448995,22,2,MQ,MQ,N658AE,3590,ORD,TYS,2200-2259,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
448996,22,2,MQ,MQ,N658AE,3590,ORD,TYS,2200-2259,1.0,0.0,475.0,Chicago,IL,Illinois,6,Knoxville,TN,Tennessee,5
448997,22,2,MQ,MQ,N257NN,3591,ORD,JAX,1800-1859,1.0,0.0,864.0,Chicago,IL,Illinois,6,Jacksonville,FL,Florida,5
448998,22,2,MQ,MQ,N257NN,3591,ORD,JAX,1800-1859,1.0,0.0,864.0,Chicago,IL,Illinois,6,Jacksonville,FL,Florida,5
448999,22,2,MQ,MQ,N532EA,3592,BNA,ORD,1400-1459,1.0,0.0,409.0,Nashville,TN,Tennessee,6,Chicago,IL,Illinois,6
449000,22,2,MQ,MQ,N532EA,3592,BNA,ORD,1400-1459,1.0,0.0,409.0,Nashville,TN,Tennessee,6,Chicago,IL,Illinois,6
449001,22,2,MQ,MQ,N522AE,3592,ORD,BNA,1200-1259,1.0,0.0,409.0,Chicago,IL,Illinois,6,Nashville,TN,Tennessee,6
449002,22,2,MQ,MQ,N522AE,3592,ORD,BNA,1200-1259,1.0,0.0,409.0,Chicago,IL,Illinois,6,Nashville,TN,Tennessee,6
449018,22,2,MQ,MQ,N680AE,4027,MDT,ORD,1800-1859,1.0,0.0,594.0,Harrisburg,PA,Pennsylvania,5,Chicago,IL,Illinois,6
449019,22,2,MQ,MQ,N680AE,4027,MDT,ORD,1800-1859,1.0,0.0,594.0,Harrisburg,PA,Pennsylvania,5,Chicago,IL,Illinois,6
449020,22,2,MQ,MQ,N680AE,4027,ORD,MDT,1500-1559,1.0,0.0,594.0,Chicago,IL,Illinois,6,Harrisburg,PA,Pennsylvania,5
449021,22,2,MQ,MQ,N680AE,4027,ORD,MDT,1500-1559,1.0,0.0,594.0,Chicago,IL,Illinois,6,Harrisburg,PA,Pennsylvania,5
449027,22,2,MQ,MQ,N658AE,4033,RST,ORD,0900-0959,1.0,0.0,268.0,Rochester,MN,Minnesota,6,Chicago,IL,Illinois,6
449028,22,2,MQ,MQ,N658AE,4033,RST,ORD,0900-0959,1.0,0.0,268.0,Rochester,MN,Minnesota,6,Chicago,IL,Illinois,6
449031,22,2,MQ,MQ,N224NN,4034,SAT,ORD,1200-1259,1.0,0.0,1041.0,San Antonio,TX,Texas,6,Chicago,IL,Illinois,6
449032,22,2,MQ,MQ,N224NN,4034,SAT,ORD,1200-1259,1.0,0.0,1041.0,San Antonio,TX,Texas,6,Chicago,IL,Illinois,6
449044,22,2,MQ,MQ,N685AE,4045,DBQ,ORD,1600-1659,1.0,0.0,147.0,Dubuque,IA,Iowa,6,Chicago,IL,Illinois,6
449045,22,2,MQ,MQ,N685AE,4045,DBQ,ORD,1600-1659,1.0,0.0,147.0,Dubuque,IA,Iowa,6,Chicago,IL,Illinois,6
449046,22,2,MQ,MQ,N685AE,4045,ORD,DBQ,1500-1559,1.0,0.0,147.0,Chicago,IL,Illinois,6,Dubuque,IA,Iowa,6
